Exam1,Exam2,Pass
53.43580386,64.23938271,0
77.30192981,64.10444354,1
64.48998605,34.3311468,0
76.31403323,78.96837975,1
27.63413292,73.94114663,0
41.40954517,58.27295949,0
76.85629419,70.23907255,1
46.95434516,35.82260326,0
57.76374588,63.93645439,0
82.88742323,58.43376746,0
44.12764885,53.43634638,0
42.85022752,46.95748503,0
49.38311567,86.56751769,0
85.25265279,57.81871895,0
44.26005854,26.24593012,0
71.62093535,70.20982191,1
21.24908477,69.16698025,0
66.57014085,74.16746557,1
68.97280039,89.30654816,1
67.97128625,55.55303319,0
22.43606133,83.24141069,0
54.70611304,34.99082029,0
24.5339492,40.31768489,0
39.83266434,31.57309481,0
74.30329368,62.2345629,1
67.68993799,60.69712245,1
59.43878344,74.27685832,0
55.3675433,45.587722,0
75.24514961,24.42823966,0
49.36123777,20.01551759,0
87.0925467,72.04565888,1
61.37308845,66.99067073,1
66.93357658,24.39948294,0
64.30486907,85.9095577,1
36.83920536,78.56698893,0
23.38574913,85.14367553,0
70.28176531,49.8658233,0
52.74082715,61.21456791,0
74.89383645,35.81062161,0
41.38901392,57.64667083,0
65.51845215,89.47516205,1
54.20035369,77.84821947,0
83.19415835,57.75681213,0
42.23686463,45.92050224,0
80.27360412,88.29750288,1
56.8989201,67.82863923,0
27.11690332,40.30531133,0
53.72412885,41.33322201,0
59.60495597,58.0221168,0
24.00422103,25.20366846,0
82.75448532,62.9738847,1
75.86099576,22.67212561,0
27.69784194,55.16545572,0
55.07007316,80.15726329,0
40.40035379,77.75079267,0
79.30203543,62.73933672,1
20.9221282,61.33984826,0
56.94779162,73.82238225,0
57.55865068,72.99355078,0
65.69600909,34.89218364,0
63.43814203,36.90089171,0
53.39696979,25.4582018,0
27.62449836,24.32461737,0
51.02940282,41.99086704,0
33.67367479,83.00442663,0
62.38678387,74.53293168,1
78.70736956,43.10269728,0
33.12352117,32.01362601,0
44.73897875,75.19369758,0
34.63122959,30.22597099,0
85.99679405,61.23234382,1
32.70490972,35.21335137,0
89.85322205,62.87699383,1
86.52084472,43.75629032,0
87.87988808,69.27003813,1
84.51511838,49.49810716,0
78.71256006,89.57419353,1
44.02130151,41.63797533,0
89.43660459,64.73721641,1
81.18972027,65.78963326,1
56.31870081,81.77489405,0
82.66271165,23.04719528,0
47.4659351,54.48768174,0
53.49120843,69.251993,0
66.8857268,25.96275732,0
45.54138862,77.55961741,0
81.36804865,35.65642782,0
63.62513579,63.39047756,1
49.69692914,45.98389588,0
35.42949438,74.47265957,0
80.37014395,61.52371655,1
69.6974369,51.01664501,0
44.51038128,66.79529926,0
21.80301055,89.31219133,0
35.04697006,31.43090073,0
53.34810451,44.95937964,0
23.76642388,34.29991542,0
64.81991036,64.31279518,1
39.35090204,64.29831772,0
52.98367843,62.75445778,0
